subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
urlbuilder,4%,0.959835726,0.968527269,0.968511517,0.786653,989,778,48,690,4.8534
urlbuilder,5%,0.97790366,0.977568121,0.977556894,0.786653,989,778,48,690,4.8534
skype-java-api,1%,0.797150844,0.776253548,0.776141563,0.134994,6504,878,43,6356,0.6611
skype-java-api,2%,0.882654318,0.8980487,0.897997673,0.134994,6504,878,43,6356,0.6611
skype-java-api,3%,0.929034397,0.927651193,0.927614982,0.134994,6504,878,43,6356,0.6611
skype-java-api,4%,0.936282315,0.945793871,0.945766741,0.134994,6504,878,43,6356,0.6611
skype-java-api,5%,0.968004956,0.952121158,0.952097194,0.134994,6504,878,43,6356,0.6611
HTTP-Proxy-Servlet,1%,0.574560699,0.572555716,0.57234178,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,2%,0.748697648,0.756470611,0.756348725,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,3%,0.84883222,0.80852847,0.808432638,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,4%,0.868987454,0.829798184,0.829712998,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,5%,0.855002439,0.876631097,0.87656935,0.620579,622,386,26,493,4.1801
PauselessHashMap,1%,0.727103359,0.744441679,0.744313772,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,2%,0.844569635,0.842300551,0.842221622,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,3%,0.869108548,0.897764706,0.897713537,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,4%,0.903934018,0.910348833,0.910303962,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,5%,0.915314304,0.918141499,0.918100529,0.512845,1051,539,1550,958,147.4786
ews-java-api,1%,0.952049055,0.972221729,0.972207826,0.058379,31501,1839,99,45313,0.3143
ews-java-api,2%,0.967629196,0.98327799,0.983269621,0.058379,31501,1839,99,45313,0.3143
ews-java-api,3%,0.976914506,0.985433659,0.985426368,0.058379,31501,1839,99,45313,0.3143
ews-java-api,4%,0.994516055,0.991834496,0.991830409,0.058379,31501,1839,99,45313,0.3143
ews-java-api,5%,0.990453301,0.992973551,0.992970034,0.058379,31501,1839,99,45313,0.3143
IClojure,1%,0.363371556,0.356898017,0.356576144,0.085145,1104,94,12,962,1.087
IClojure,2%,0.514999335,0.523700247,0.523461859,0.085145,1104,94,12,962,1.087
IClojure,3%,0.62263061,0.637314263,0.637132739,0.085145,1104,94,12,962,1.087
IClojure,4%,0.709288542,0.711872982,0.711728774,0.085145,1104,94,12,962,1.087
IClojure,5%,0.741108824,0.765328728,0.765211275,0.085145,1104,94,12,962,1.087
RestFixture,1%,0.888967631,0.880858811,0.880799181,0.682206,3282,2239,268,3106,8.1658
RestFixture,2%,0.938344563,0.943663438,0.943635242,0.682206,3282,2239,268,3106,8.1658
RestFixture,3%,0.952973897,0.968322644,0.968306789,0.682206,3282,2239,268,3106,8.1658
RestFixture,4%,0.980201987,0.971373032,0.971358704,0.682206,3282,2239,268,3106,8.1658
RestFixture,5%,0.981129296,0.977414472,0.977403168,0.682206,3282,2239,268,3106,8.1658
jInstagram,1%,0.496880845,0.500833635,0.500583802,0.07699,2299,177,74,3476,3.2188
jInstagram,2%,0.636015926,0.620610518,0.620420634,0.07699,2299,177,74,3476,3.2188
jInstagram,3%,0.772827782,0.76766799,0.767551707,0.07699,2299,177,74,3476,3.2188
jInstagram,4%,0.843010664,0.825511112,0.82542378,0.07699,2299,177,74,3476,3.2188
jInstagram,5%,0.811226594,0.816319753,0.816227821,0.07699,2299,177,74,3476,3.2188
linq4j,1%,0.962337406,0.949046857,0.949021355,0.375483,13191,4953,221,14307,1.6754
linq4j,2%,0.981906151,0.973395416,0.973382101,0.375483,13191,4953,221,14307,1.6754
linq4j,3%,1.000069825,0.98545161,0.985444328,0.375483,13191,4953,221,14307,1.6754
linq4j,4%,0.987737639,0.986868484,0.986861912,0.375483,13191,4953,221,14307,1.6754
linq4j,5%,0.988396997,0.989317816,0.98931247,0.375483,13191,4953,221,14307,1.6754
javapoet,1%,0.876705136,0.889407221,0.889351869,0.771391,3775,2912,152,2454,4.0265
javapoet,2%,0.955073593,0.951007318,0.950982797,0.771391,3775,2912,152,2454,4.0265
javapoet,3%,0.967272111,0.959698749,0.959678578,0.771391,3775,2912,152,2454,4.0265
javapoet,4%,0.986064451,0.970633233,0.970618535,0.771391,3775,2912,152,2454,4.0265
javapoet,5%,0.964264311,0.977966783,0.977955756,0.771391,3775,2912,152,2454,4.0265
statsd-jvm-profiler,1%,0.567587572,0.578098691,0.577887529,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,2%,0.716549705,0.684459629,0.684301701,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,3%,0.796282612,0.796959928,0.796858306,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,4%,0.832499301,0.817236298,0.817144825,0.370258,659,244,33,691,5.0076
statsd-jvm-profiler,5%,0.839476873,0.841926772,0.841847657,0.370258,659,244,33,691,5.0076
scribe-java,1%,0.727704264,0.73281371,0.732679983,0.351901,1867,657,99,2778,5.3026
scribe-java,2%,0.877467288,0.868011777,0.867945716,0.351901,1867,657,99,2778,5.3026
scribe-java,3%,0.913123746,0.910144689,0.910099716,0.351901,1867,657,99,2778,5.3026
scribe-java,4%,0.90954907,0.913400247,0.913356903,0.351901,1867,657,99,2778,5.3026
scribe-java,5%,0.932194382,0.927484134,0.927447839,0.351901,1867,657,99,2778,5.3026
expiringmap,1%,0.930645642,0.916925097,0.916883518,0.560819,781,438,26,802,3.3291
expiringmap,2%,0.94924827,0.944210768,0.944182845,0.560819,781,438,26,802,3.3291
expiringmap,3%,0.95188767,0.962828125,0.96280952,0.560819,781,438,26,802,3.3291
expiringmap,4%,0.98731635,0.971860721,0.971846637,0.560819,781,438,26,802,3.3291
expiringmap,5%,0.976237127,0.985038842,0.985031353,0.560819,781,438,26,802,3.3291
multi-thread-context,1%,1,1,1,0.034884,258,9,31,580,12.0155
