subject,y,x1,x2,x3,x4,x5,x6,x7,lnx1,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,neginvx1,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7
webbit,0.849631711,0.01 ,0.330933,3750,1241,131,4914,3.4933,-4.605170186,-1.105839341,8.229511119,7.123672785,4.875197323,8.499843553,1.250846848,-100,-3.021759692,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286262273
jenkins-ansicolor-plugin,0.517646288,0.01 ,0.413858,534,221,26,500,4.8689,-4.605170186,-0.882232359,6.280395839,5.398162702,3.258096538,6.214608098,1.582868039,-100,-2.416287712,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.2053852
raml-java-parser,0.909039347,0.01 ,0.708968,6044,4285,190,8217,3.1436,-4.605170186,-0.343944887,8.706821323,8.362875831,5.247024072,9.013960458,1.14536864,-100,-1.410500897,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318106629
geohash-java,0.85804685,0.01 ,0.685119,1680,1151,56,920,3.3333,-4.605170186,-0.378162733,7.426549072,7.048386409,4.025351691,6.82437367,1.203962804,-100,-1.459600449,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.300003
compress,0.933586231,0.01 ,0.474887,5734,2723,43,4387,0.7499,-4.605170186,-0.744678398,8.654168646,7.909489493,3.761200116,8.386400901,-0.287815415,-100,-2.105764108,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333511135
spatial4j,0.947484023,0.01 ,0.498435,7666,3821,252,5243,3.2872,-4.605170186,-0.696282089,8.944550246,8.248267447,5.529429088,8.564649133,1.190036139,-100,-2.006279655,-0.000130446,-0.000261712,-0.003968254,-0.00019073,-0.30421027
glacieruploader,0.594023202,0.01 ,0.305825,824,252,22,987,2.6699,-4.605170186,-1.184742236,6.71417053,5.529429088,3.091042453,6.894670039,0.982041019,-100,-3.269843865,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545863
zt-exec,0.563089853,0.01 ,0.315512,1328,419,71,1670,5.3464,-4.605170186,-1.153558563,7.19142933,6.03787092,4.262679877,7.420578905,1.676423437,-100,-3.169451558,-0.000753012,-0.002386635,-0.014084507,-0.000598802,-0.187041748
rome,0.933808874,0.01 ,0.456866,10734,4904,475,11704,4.4252,-4.605170186,-0.783365148,9.281171553,8.497806478,6.163314804,9.367685943,1.487315475,-100,-2.188825608,-9.31619E-05,-0.000203915,-0.002105263,-8.54409E-05,-0.225978487
webprotege,0.95923992,0.01 ,0.091384,61455,5616,1659,77573,2.6995,-4.605170186,-2.392684871,11.02606048,8.633374946,7.41397029,11.25897471,0.993066571,-100,-10.94283463,-1.62721E-05,-0.000178063,-0.000602773,-1.28911E-05,-0.37043897
xsoup,0.821939959,0.01 ,0.529895,2191,1161,27,2031,1.2323,-4.605170186,-0.635076405,7.69211334,7.057036982,3.295836866,7.616283562,0.208882342,-100,-1.887166325,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811490708
protoparser,0.916906345,0.01 ,0.720659,4550,3279,166,2115,3.6484,-4.605170186,-0.327589208,8.422882512,8.095293777,5.111987788,7.656810091,1.294288715,-100,-1.387618832,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274092753
jitescript,0.446180975,0.01 ,0.219973,1482,326,14,1397,0.9447,-4.605170186,-1.514250467,7.301147806,5.786897381,2.63905733,7.242082359,-0.056887862,-100,-4.546012465,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058537102
gelfj,0.676464234,0.01 ,0.34856,1007,351,28,1120,2.7805,-4.605170186,-1.053944897,6.914730893,5.860786223,3.33220451,7.021083964,1.022630768,-100,-2.868946523,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359647545
parsii,0.81230863,0.01 ,0.509169,2563,1305,16,1713,0.6243,-4.605170186,-0.674975294,7.848933726,7.17395832,2.772588722,7.446001498,-0.471124257,-100,-1.963984453,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601794009
low-gc-membuffers,0.861215735,0.01 ,0.512042,3654,1871,51,3183,1.3957,-4.605170186,-0.669348626,8.203577737,7.534228326,3.931825633,8.065579427,0.333396082,-100,-1.952964796,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716486351
gdx-artemis,0.825563671,0.01 ,0.570581,1686,962,35,1951,2.0759,-4.605170186,-0.561100139,7.430114139,6.869014451,3.555348061,7.576097341,0.730394795,-100,-1.752599543,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481718773
java-jwt,0.588505069,0.01 ,0.787281,456,359,54,422,11.8421,-4.605170186,-0.239170042,6.12249281,5.883322388,3.988984047,6.045005314,2.471660979,-100,-1.270194505,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444482
hashids-java,0.566436475,0.01 ,0.631776,535,338,11,258,2.0561,-4.605170186,-0.459220378,6.282266747,5.823045895,2.397895273,5.552959585,0.720810985,-100,-1.582839487,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486357667
stateless4j,0.590581159,0.01 ,0.561782,696,391,61,864,8.7644,-4.605170186,-0.576641405,6.54534966,5.96870756,4.110873864,6.761572769,2.170698062,-100,-1.780049913,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114097942
jumblr,0.786521676,0.01 ,0.516047,1184,611,103,1494,8.6993,-4.605170186,-0.661557432,7.076653815,6.415096959,4.634728988,7.309212366,2.163242563,-100,-1.93780799,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951778
