subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
webbit,0.952592239,4%,0.330933,3750,1241,131,4914,3.4933
webbit,0.966254345,5%,0.330933,3750,1241,131,4914,3.4933
jenkins-ansicolor-plugin,0.517646288,1%,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.61347113,2%,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.735157824,3%,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.717152884,4%,0.413858,534,221,26,500,4.8689
jenkins-ansicolor-plugin,0.800307687,5%,0.413858,534,221,26,500,4.8689
raml-java-parser,0.909039347,1%,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.951256211,2%,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.973323815,3%,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.978476921,4%,0.708968,6044,4285,190,8217,3.1436
raml-java-parser,0.982162326,5%,0.708968,6044,4285,190,8217,3.1436
geohash-java,0.85804685,1%,0.685119,1680,1151,56,920,3.3333
geohash-java,0.908794408,2%,0.685119,1680,1151,56,920,3.3333
geohash-java,0.936455576,3%,0.685119,1680,1151,56,920,3.3333
geohash-java,0.964288034,4%,0.685119,1680,1151,56,920,3.3333
geohash-java,0.957565926,5%,0.685119,1680,1151,56,920,3.3333
compress,0.933586231,1%,0.474887,5734,2723,43,4387,0.7499
compress,0.965696501,2%,0.474887,5734,2723,43,4387,0.7499
compress,0.979348188,3%,0.474887,5734,2723,43,4387,0.7499
compress,0.980277463,4%,0.474887,5734,2723,43,4387,0.7499
compress,0.985888427,5%,0.474887,5734,2723,43,4387,0.7499
spatial4j,0.947484023,1%,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.968649087,2%,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.978918108,3%,0.498435,7666,3821,252,5243,3.2872
spatial4j,0.984902902,4%,0.498435,7666,3821,252,5243,3.2872
