subject,kendallCorrelation,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
HTTP-Proxy-Servlet,0.754849628,0.03 ,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.763059529,0.04 ,0.620579,622,386,26,493,4.1801
HTTP-Proxy-Servlet,0.795609672,0.05 ,0.620579,622,386,26,493,4.1801
PauselessHashMap,0.669937321,0.01 ,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.729179605,0.02 ,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.782582416,0.03 ,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.797325972,0.04 ,0.512845,1051,539,1550,958,147.4786
PauselessHashMap,0.801586354,0.05 ,0.512845,1051,539,1550,958,147.4786
ews-java-api,0.838219203,0.01 ,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.870369123,0.02 ,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.873292457,0.03 ,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.909060098,0.04 ,0.058379,31501,1839,99,45313,0.3143
ews-java-api,0.910521773,0.05 ,0.058379,31501,1839,99,45313,0.3143
IClojure,0.481639031,0.01 ,0.085145,1104,94,12,962,1.087
IClojure,0.591070275,0.02 ,0.085145,1104,94,12,962,1.087
IClojure,0.657706138,0.03 ,0.085145,1104,94,12,962,1.087
IClojure,0.694969934,0.04 ,0.085145,1104,94,12,962,1.087
IClojure,0.730513756,0.05 ,0.085145,1104,94,12,962,1.087
RestFixture,0.779424475,0.01 ,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.851433214,0.02 ,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.88522266,0.03 ,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.886851294,0.04 ,0.682206,3282,2239,268,3106,8.1658
RestFixture,0.90113564,0.05 ,0.682206,3282,2239,268,3106,8.1658
jInstagram,0.573853369,0.01 ,0.07699,2299,177,74,3476,3.2188
jInstagram,0.634122006,0.02 ,0.07699,2299,177,74,3476,3.2188
jInstagram,0.732972416,0.03 ,0.07699,2299,177,74,3476,3.2188
jInstagram,0.768441704,0.04 ,0.07699,2299,177,74,3476,3.2188
jInstagram,0.75255505,0.05 ,0.07699,2299,177,74,3476,3.2188
linq4j,0.85804837,0.01 ,0.375483,13191,4953,221,14307,1.6754
linq4j,0.897546985,0.02 ,0.375483,13191,4953,221,14307,1.6754
linq4j,0.920507716,0.03 ,0.375483,13191,4953,221,14307,1.6754
linq4j,0.928441207,0.04 ,0.375483,13191,4953,221,14307,1.6754
linq4j,0.931670224,0.05 ,0.375483,13191,4953,221,14307,1.6754
javapoet,0.794820412,0.01 ,0.771391,3775,2912,152,2454,4.0265
javapoet,0.850100552,0.02 ,0.771391,3775,2912,152,2454,4.0265
javapoet,0.861557064,0.03 ,0.771391,3775,2912,152,2454,4.0265
javapoet,0.880726098,0.04 ,0.771391,3775,2912,152,2454,4.0265
javapoet,0.898079932,0.05 ,0.771391,3775,2912,152,2454,4.0265
