name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
webbit,0.899949456,1,0.330933333,3750,1241,131,4914,3.493333333,101.1195,-1.105838334,8.229511119,7.123672785,4.875197323,8.499843553,1.25085639,4.616302986,-3.021756648,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286259542,-0.009889289
brickhouse,0.821193284,1,0.049622782,9411,467,30,8831,0.318775901,50.9795,-3.003305239,9.149634497,6.146329258,3.401197382,9.086023537,-1.143266929,3.931423591,-20.15203426,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.137,-0.019615728
jmeter-maven-plugin,0.801190833,1,0.264614012,2241,593,57,1297,2.543507363,50.4805,-1.329483075,7.714677474,6.385194399,4.043051268,7.167809184,0.93354398,3.921587123,-3.779089376,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393157895,-0.019809629
HTTP-Proxy-Servlet,0.724760121,1,0.620578778,622,386,26,493,4.180064309,32.073,-0.477102723,6.432940093,5.955837369,3.258096538,6.200509174,1.430326631,3.468014555,-1.611398964,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239230769,-0.031178873
geohash-java,0.916709992,1,0.685119048,1680,1151,56,920,3.333333333,13.9495,-0.378162664,7.426549072,7.048386409,4.025351691,6.82437367,1.203972804,2.635443665,-1.459600348,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.3,-0.071687157
JAdventure,0.880479021,1,0.144958807,5098,739,35,3785,0.686543743,14.083,-1.931305664,8.536603585,6.605297921,3.555348061,8.238801166,-0.376085337,2.644968396,-6.898511502,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456571429,-0.071007598
skype-java-api,0.885928978,1,0.13499385,6504,878,43,6356,0.661131611,36.8215,-2.002526058,8.780172651,6.777646594,3.761200116,8.757154528,-0.41380235,3.606081914,-7.407744875,-0.000153752,-0.001138952,-0.023255814,-0.000157332,-1.51255814,-0.027158046
evernote-sdk-java,0.626699664,1,0.002102199,74208,156,14,2370,0.01886589,37.2715,-6.164771233,11.21462724,5.049856007,2.63905733,7.770645234,-3.970399724,3.61822896,-475.6923077,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-53.00571429,-0.026830152
parsii,0.869915337,1,0.509168943,2563,1305,16,1713,0.624268435,21.929,-0.674975407,7.848933726,7.17395832,2.772588722,7.446001498,-0.471174818,3.087809962,-1.963984674,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601875,-0.045601715
JavaVerbalExpressions,0.765106559,1,0.786967419,399,314,69,326,17.29323308,5.968,-0.239568431,5.988961417,5.749392986,4.234106505,5.786897381,2.850315274,1.786411863,-1.270700637,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826087,-0.167560322
cors-filter,0.739379226,1,0.829411765,510,423,72,588,14.11764706,5.962,-0.187038547,6.234410726,6.047372179,4.276666119,6.376726948,2.647425579,1.785405995,-1.205673759,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833333,-0.16772895
zt-exec,0.684451768,1,1,419,419,71,1670,16.9451074,7.8385,0,6.03787092,6.03787092,4.262679877,7.420578905,2.829979143,2.05904749,-1,-0.002386635,-0.002386635,-0.014084507,-0.000598802,-0.059014085,-0.127575429
low-gc-membuffers,0.925002995,1,0.512041598,3654,1871,51,3183,1.395730706,8.0015,-0.669349411,8.203577737,7.534228326,3.931825633,8.065579427,0.333418082,2.079629024,-1.952966328,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716470588,-0.124976567
hashids-java,0.63558294,1,0.631775701,535,338,11,258,2.056074766,11.322,-0.459220851,6.282266747,5.823045895,2.397895273,5.552959585,0.720798712,2.426747736,-1.582840237,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486363636,-0.088323618
flip-tables,0.616069195,1,0.875,336,294,21,170,6.25,14.5215,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,2.67563031,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.068863409
pollexor,0.87847348,1,0.848928974,887,753,58,592,6.538895152,14.4015,-0.163779755,6.787844982,6.624065228,4.060443011,6.383506635,1.877768214,2.667332368,-1.177954847,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152931034,-0.069437211
rtree,0.922433634,1,0.737773638,2147,1584,199,1806,9.268747089,8.407,-0.304118226,7.671826798,7.367708572,5.293304825,7.498869734,2.226648213,2.129064692,-1.355429293,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889447,-0.118948495
statsd-jvm-profiler,0.675700873,1,0.370257967,659,244,33,691,5.007587253,8.5895,-0.993555309,6.490723535,5.497168225,3.496507561,6.538139824,1.610954213,2.150540527,-2.700819672,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.19969697,-0.116421212
LastCalc,0.950444696,1,1,2597,2597,34,4594,1.309202926,12.214,0,7.862112212,7.862112212,3.526360525,8.432506383,0.269418499,2.502582835,-1,-0.00038506,-0.00038506,-0.029411765,-0.000217675,-0.763823529,-0.08187326
DiskLruCache,0.758580559,1,0.575498575,1053,606,61,780,5.79297246,15.9535,-0.552518526,6.959398512,6.406879986,4.110873864,6.65929392,1.756645538,2.769678241,-1.737623762,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.172622951,-0.06268217
IClojure,0.583354204,1,0.085144928,1104,94,12,962,1.086956522,15.8875,-2.463400445,7.006695227,4.543294782,2.48490665,6.869014451,0.083381609,2.765532637,-11.74468085,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.92,-0.062942565
raml-java-parser,0.961737759,1,1,4285,4285,190,8217,4.434072345,42.1535,0,8.362875831,8.362875831,5.247024072,9.013960458,1.489318427,3.741317718,-1,-0.000233372,-0.000233372,-0.005263158,-0.000121699,-0.225526316,-0.023722823
jprotobuf,0.937099799,1,0.337188612,4496,1516,49,3015,1.089857651,43.893,-1.087112825,8.410943392,7.323830566,3.891820298,8.011355109,0.086047093,3.781754854,-2.965699208,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.91755102,-0.022782676
greplin-lucene-utils,0.837361625,1,0.151653364,2631,399,14,3476,0.532117066,36.887,-1.886157864,7.875119281,5.988961417,2.63905733,8.153637486,-0.630891765,3.607859185,-6.593984962,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879285714,-0.027109822
invokebinder,0.917181637,2,0.447789878,1561,699,107,1623,6.854580397,29.9655,-0.803431178,7.353081921,6.549650742,4.672828834,7.392031568,1.9249171,3.40004672,-2.233190272,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.14588785,-0.033371711
gdx-artemis,0.936501049,2,0.570581257,1686,962,35,1951,2.075919336,30.032,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,3.40226348,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.033297816
nar-maven-plugin,0.975202522,2,0.092810083,27928,2592,465,23665,1.664995703,83.297,-2.377199991,10.23738505,7.860185057,6.142037406,10.07175244,0.509822543,4.422412534,-10.77469136,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600602151,-0.012005234
clj-ds,0.976759168,2,0.069743859,26626,1857,19,15521,0.071358822,83.808,-2.6629259,10.18964346,7.526717561,2.944438979,9.649949225,-2.640034296,4.428528468,-14.33817986,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.01368421,-0.011932035
computoser,0.959320577,2,0.049948683,14615,730,12,11626,0.082107424,49.8795,-2.996759143,9.589803678,6.593044534,2.48490665,9.360999248,-2.499726842,3.909610097,-20.02054795,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.17916667,-0.020048316
glacieruploader,0.840769548,2,0.305825243,824,252,22,987,2.669902913,16.5425,-1.184741442,6.71417053,5.529429088,3.091042453,6.894670039,0.982042109,2.805932827,-3.26984127,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545455,-0.060450355
gson-fire,0.90187615,2,0.688741722,755,520,36,895,4.768211921,15.7235,-0.372888938,6.626717749,6.253828812,3.583518938,6.796823718,1.561971375,2.755156409,-1.451923077,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722222,-0.063599071
java-uuid-generator,0.941060241,2,0.394310937,2039,804,45,1764,2.206964198,7.3155,-0.930615501,7.620214771,6.689599269,3.80666249,7.475339237,0.791617905,1.989995385,-2.536069652,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453111111,-0.136696056
efflux,0.956379645,2,0.419014085,2840,1190,41,3529,1.443661972,7.497,-0.869850745,7.951559331,7.081708586,3.713572067,8.168769824,0.367182922,2.014502941,-2.386554622,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692682927,-0.133386688
jitescript,0.717193028,2,0.219973009,1482,326,14,1397,0.944669366,19.391,-1.514250424,7.301147806,5.786897381,2.63905733,7.242082359,-0.05692029,2.964809041,-4.54601227,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058571429,-0.051570316
patricia-trie,0.956040133,2,0.441108545,3031,1337,17,2782,0.560871,30.421,-0.8184643,8.016647877,7.198183577,2.833213344,7.930925372,-0.578264347,3.415133159,-2.267015707,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782941176,-0.032872029
greplin-bloom-filter,0.868133062,2,0.578313253,830,480,16,674,1.927710843,30.812,-0.547639597,6.721425701,6.173786104,2.772588722,6.513230111,0.656333207,3.427904224,-1.729166667,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.51875,-0.032454888
aho-corasick,0.895810254,2,0.85862069,580,498,31,499,5.344827586,51.7245,-0.152428027,6.363028104,6.210600077,3.433987204,6.212606096,1.676129287,3.945931557,-1.164658635,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.187096774,-0.019333198
pusher-websocket-java,0.930128002,2,0.578911565,1470,851,204,1634,13.87755102,51.766,-0.546605551,7.29301768,6.746412129,5.318119994,7.398786275,2.6302725,3.946733563,-1.727379553,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058824,-0.019317699
scribe-java,0.915667817,2,0.351901446,1867,657,99,2778,5.302624531,98.4395,-1.044404125,7.532088144,6.487684018,4.59511985,7.929486523,1.668201893,4.589442146,-2.841704718,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188585859,-0.010158524
xsoup,0.941697273,2,0.529895025,2191,1161,27,2031,1.232314012,145.151,-0.635076358,7.69211334,7.057036982,3.295836866,7.616283562,0.208893712,4.97777458,-1.887166236,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811481481,-0.006889377
jInstagram,0.783089515,2,0.076989996,2299,177,74,3476,3.218790779,141.523,-2.564079792,7.740229525,5.176149733,4.304065093,8.153637486,1.169005754,4.952462248,-12.98870057,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310675676,-0.007065989
metrics-statsd,0.865810243,2,0.757352941,408,309,11,310,2.696078431,108.3245,-0.277925898,6.011267174,5.733341277,2.397895273,5.736572297,0.991798284,4.685131352,-1.32038835,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370909091,-0.009231522
dropwizard-guice,0.801381456,2,1,154,154,15,381,9.74025974,109.152,0,5.036952602,5.036952602,2.708050201,5.942799375,2.276267785,4.692741406,-1,-0.006493506,-0.006493506,-0.066666667,-0.002624672,-0.102666667,-0.009161536
gelfj,0.880346173,2,0.348560079,1007,351,28,1120,2.780536246,72.762,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,4.287193841,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.013743438
wsc,0.991591634,2,0.094082873,17931,1687,16,13016,0.089230941,35.1065,-2.363579255,9.794286337,7.430707083,2.772588722,9.473934649,-2.416527429,3.558386299,-10.62892709,-5.58E-05,-0.000592768,-0.0625,-7.68E-05,-11.206875,-0.028484754
sonar-objective-c,0.87079182,2,0.256794752,1067,274,31,1441,2.905342081,35.111,-1.359478145,6.972606251,5.613128106,3.433987204,7.273092596,1.066551139,3.558514472,-3.894160584,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344193548,-0.028481103
Confucius,0.884483349,2,0.927419355,620,575,84,503,13.5483871,27.6315,-0.075349437,6.429719478,6.354370041,4.430816799,6.22059017,2.606267507,3.318956426,-1.07826087,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809524,-0.03619058
JActor,0.628849802,2,0.095860566,1377,132,60,2413,4.357298475,27.284,-2.344860576,7.227662499,4.882801923,4.094344562,7.788626066,1.471852249,3.30630045,-10.43181818,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.2295,-0.036651517
protoparser,0.976891025,2,0.720659341,4550,3279,166,2115,3.648351648,60.241,-0.327588735,8.422882512,8.095293777,5.111987788,7.656810091,1.294275462,4.098353184,-1.387618176,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274096386,-0.01659999
multi-thread-context,1,2,0.034883721,258,9,31,580,12.01550388,93.253,-3.355735008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197806,4.53531623,-28.66666667,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225806,-0.010723516
mimecraft,0.866024678,2,0.784511785,297,233,14,394,4.713804714,93.9045,-0.242693685,5.693732139,5.451038454,2.63905733,5.976350909,1.550495377,4.542278308,-1.274678112,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212142857,-0.010649117
stateless4j,0.866354402,2,0.561781609,696,391,61,864,8.764367816,66.813,-0.5766421,6.54534966,5.96870756,4.110873864,6.761572769,2.17069439,4.201897672,-1.780051151,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114098361,-0.014967147
jumblr,0.917183974,2,0.516047297,1184,611,103,1494,8.699324324,65.035,-0.661556856,7.076653815,6.415096959,4.634728988,7.309212366,2.163245359,4.174925587,-1.937806874,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951456,-0.015376336
exp4j,0.911205614,2,0.870761356,1563,1361,284,1086,18.17018554,39.765,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,3.682987128,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.025147743
linq4j,0.986443625,2,0.375483284,13191,4953,221,14307,1.675384732,15.332,-0.979541325,9.487290058,8.507748733,5.398162702,9.568504207,0.51604283,2.729942148,-2.663234403,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596877828,-0.065223063
jPopulator,0.922540197,2,0.509337861,1178,600,70,969,5.942275042,15.3295,-0.674643709,7.071573364,6.396929655,4.248495242,6.876264612,1.782092064,2.729779077,-1.963333333,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285714,-0.0652337
java-jwt,0.836150377,2,0.787280702,456,359,54,422,11.84210526,29.1435,-0.239170421,6.12249281,5.883322388,3.988984047,6.045005314,2.471661423,3.372231903,-1.270194986,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444444,-0.034312969
spring-retry,0.961384033,2,0.611062718,2296,1403,185,2716,8.057491289,28.6095,-0.492555677,7.738923757,7.24636808,5.220355825,7.906915489,2.086602254,3.353738831,-1.636493229,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124108108,-0.034953425
webbit,0.954538179,2,0.330933333,3750,1241,131,4914,3.493333333,21.3335,-1.105838334,8.229511119,7.123672785,4.875197323,8.499843553,1.25085639,3.060278607,-3.021756648,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286259542,-0.046874634
