projectName,y,x1,x2,x3,x4,x5,x6,x7,x8,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,lnx8,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7,neginvx8
WorldGuard,0.931471,0.01,90.65,0.043556,25875,1127,148,21845,0.572,4.507005937,-3.133707812,10.16103253,7.027314514,4.997212274,9.991727341,-0.558616288,-0.01103144,-22.9589494,-3.86E-05,-0.000887311,-0.006756757,-4.58E-05,-1.748251748
gson-fire,0.878433,0.01,24.42,0.688742,755,520,36,895,4.7682,3.195402469,-0.372888534,6.626717749,6.253828812,3.583518938,6.796823718,1.561968875,-0.040950041,-1.451922491,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722747
pusher-websocket-java,0.898123,0.01,138.59,0.578912,1470,851,204,1634,13.8776,4.931519934,-0.546604799,7.29301768,6.746412129,5.318119994,7.398786275,2.630276029,-0.007215528,-1.727378254,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058569
DiskLruCache,0.871922,0.01,32.98,0.575499,1053,606,61,780,5.793,3.495901317,-0.552517788,6.959398512,6.406879986,4.110873864,6.65929392,1.756650292,-0.030321407,-1.737622481,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.17262213
jackson-dataformat-csv,0.966233,0.01,86.67,0.317734,6795,2159,100,5242,1.4717,4.462107803,-1.146540724,8.823942327,7.677400431,4.605170186,8.564458384,0.386418195,-0.011538018,-3.147286724,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.679486308
scrypt,0.971905,0.01,15.42,0.837418,1224,1025,22,467,1.7974,2.735665368,-0.177431931,7.109879463,6.932447892,3.091042453,6.146329258,0.586341176,-0.064850843,-1.19414677,-0.000816993,-0.00097561,-0.045454545,-0.002141328,-0.556359185
redline-smalltalk,0.976023,0.01,16.46,0.170641,10736,1832,43,5648,0.4005,2.800933195,-1.768193345,9.281357859,7.513163545,3.761200116,8.639056779,-0.915041512,-0.060753341,-5.860256328,-9.31E-05,-0.000545852,-0.023255814,-0.000177054,-2.496878901
clj-ds,0.976368,0.01,16.93,0.069744,26626,1857,19,15521,0.0714,2.829087196,-2.662923883,10.18964346,7.526717561,2.944438979,9.649949225,-2.63945741,-0.059066745,-14.33815095,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.00560224
Liqp,0.991327,0.01,212.18,0.454164,17410,7907,234,1876,1.3441,5.357434971,-0.789296913,9.764800033,8.975503722,5.455321115,7.53689713,0.295724644,-0.00471298,-2.201847791,-5.74E-05,-0.00012647,-0.004273504,-0.000533049,-0.743992262
la4j,0.989292,0.01,655.18,0.549357,13372,7346,758,9096,5.6686,6.484910007,-0.599006776,9.500918248,8.901911226,6.630683386,9.115590035,1.734942174,-0.001526298,-1.820309926,-7.48E-05,-0.000136129,-0.001319261,-0.000109938,-0.176410401
wsdoc,0.95925,0.01,35,0.639653,2073,1326,47,1598,2.2672,3.555348061,-0.446829437,7.636752112,7.189922171,3.850147602,7.376508126,0.81854559,-0.028571429,-1.563347628,-0.000482393,-0.000754148,-0.021276596,-0.000625782,-0.441072689
spring-data-commons,0.989618,0.01,997.84,0.613786,13666,8388,1035,14722,7.5735,6.905592943,-0.488108946,9.522666275,9.034557392,6.942156706,9.597098253,2.024655312,-0.001002165,-1.629232338,-7.32E-05,-0.000119218,-0.000966184,-6.79E-05,-0.132039348
DotCi,0.967563,0.01,203.64,0.220227,9245,2036,221,10038,2.3905,5.316353729,-1.513096446,9.131838144,7.618742378,5.398162702,9.21413317,0.871502549,-0.004910627,-4.540769297,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418322527
apache-httpclient,0.989493,0.01,831.98,0.360584449,5749,2073,869,26604,15.1157,6.723808402,-1.020029094,8.656781206,7.636752112,6.767343125,10.18881686,2.715733939,-0.001201952,-2.77327545,-0.000173943,-0.000482393,-0.001150748,-3.76E-05,-0.06615638
apache-mina,0.985985,0.01,182.13,0.293984109,7929,2331,197,26869,2.4846,5.204720718,-1.224229564,8.978282203,7.754052639,5.283203729,10.19872848,0.910111681,-0.005490584,-3.401544401,-0.000126119,-0.000429,-0.005076142,-3.72E-05,-0.402479272
assertj-core,0.989825,0.01,5541.98,0.841250606,4126,3471,5737,14128,139.0451,8.620107117,-0.172865678,8.325063694,8.152198016,8.654691705,9.555913923,4.934798341,-0.000180441,-1.188706425,-0.000242365,-0.000288101,-0.000174307,-7.08E-05,-0.007191911
common-collection,0.987262,0.01,13195.24,0.36469316,7398,2698,13677,23713,184.8743,9.487611437,-1.008698936,8.908964972,7.900266037,9.523470869,10.0737787,5.219676135,-7.58E-05,-2.742031137,-0.000135172,-0.000370645,-7.31E-05,-4.22E-05,-0.005409081
common-io,0.988296,0.01,927.79,0.765100671,3129,2394,965,8839,30.8405,6.832805414,-0.267747858,8.048468744,7.780720886,6.872128101,9.086929027,3.428828761,-0.00107783,-1.307017544,-0.000319591,-0.000417711,-0.001036269,-0.000113135,-0.032424896
commons-compress,0.993736,0.01,469.94,0.634262845,7746,4913,491,17888,6.3388,6.152605027,-0.455291828,8.95493186,8.499640032,6.196444128,9.791885376,1.846689476,-0.002127931,-1.576633422,-0.000129099,-0.000203542,-0.00203666,-5.59E-05,-0.157758566
JFreeChart,0.997467,0.01,2235.95,0.323307195,34942,11297,2256,98334,6.4564,7.712421473,-1.12915234,10.46144482,9.332292483,7.721348613,11.49612513,1.865071887,-0.000447237,-3.093033547,-2.86E-05,-8.85E-05,-0.000443262,-1.02E-05,-0.154885075
jgrapht,0.986695,0.01,143.72,0.561187545,2762,1550,152,12511,5.5033,4.967866962,-0.577700125,7.923710334,7.34601021,5.023880521,9.434363536,1.705347912,-0.006957974,-1.781935485,-0.000362056,-0.000645161,-0.006578947,-7.99E-05,-0.181709156
