name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
jumblr,0.330325238,1,0.447949527,317,142,104,1494,32.80757098,9.0035,-0.803074716,5.758901774,4.955827058,4.644390899,7.309212366,3.490659311,2.197613391,-2.232394366,-0.003154574,-0.007042254,-0.009615385,-0.000669344,-0.030480769,-0.111067918
exp4j,0.313093255,1,0.840191388,1045,878,286,1086,27.36842105,9.007,-0.174125571,6.951772164,6.777646594,5.655991811,6.9902565,3.309389832,2.198002053,-1.190205011,-0.000956938,-0.001138952,-0.003496503,-0.00092081,-0.036538462,-0.111024759
linq4j,0.548559054,1,0.32454733,4363,1416,222,14307,5.088242035,16.373,-1.125323899,8.380915173,7.255591274,5.402677382,9.568504207,1.626932395,2.795633637,-3.081214689,-0.0002292,-0.000706215,-0.004504505,-6.99E-05,-0.196531532,-0.061076162
jPopulator,0.822322534,1,0.593147752,467,277,70,969,14.98929336,16.673,-0.522311751,6.146329258,5.624017506,4.248495242,6.876264612,2.70733617,2.813790645,-1.685920578,-0.002141328,-0.003610108,-0.014285714,-0.001031992,-0.066714286,-0.059977209
java-jwt,0.449538514,1,0.797468354,158,126,79,422,50,58.333,-0.226313126,5.062595033,4.836281907,4.369447852,6.045005314,3.912023005,4.066167971,-1.253968254,-0.006329114,-0.007936508,-0.012658228,-0.002369668,-0.02,-0.017142955
spring-retry,0.239041547,1,0.552657974,997,551,186,2716,18.6559679,98.4335,-0.593015961,6.90475077,6.311734809,5.225746674,7.906915489,2.92616609,4.589381193,-1.809437387,-0.001003009,-0.001814882,-0.005376344,-0.000368189,-0.053602151,-0.010159143
webbit,0.66875556,1,0.379672407,2381,904,127,4914,5.333893322,97.864,-0.968446486,7.775275846,6.80682936,4.844187086,8.499843553,1.674081426,4.58357876,-2.633849558,-0.000419992,-0.001106195,-0.007874016,-0.0002035,-0.187480315,-0.010218262
brickhouse,0.818258333,1,0.042988314,4792,206,30,8831,0.626043406,50.306,-3.146826971,8.47470314,5.327876169,3.401197382,9.086023537,-0.468335572,3.918124354,-23.26213592,-0.000208681,-0.004854369,-0.033333333,-0.000113237,-1.597333333,-0.019878345
jmeter-maven-plugin,0.549001307,1,0.348088531,497,173,58,1297,11.67002012,51.6065,-1.055298432,6.208590026,5.153291595,4.060443011,7.167809184,2.45702317,3.943647634,-2.87283237,-0.002012072,-0.005780347,-0.017241379,-0.00077101,-0.085689655,-0.019377404
HTTP-Proxy-Servlet,0.87293214,1,0.52173913,253,132,25,493,9.881422925,32.0945,-0.650587566,5.533389489,4.882801923,3.218875825,6.200509174,2.290656522,3.468684676,-1.916666667,-0.003952569,-0.007575758,-0.04,-0.002028398,-0.1012,-0.031157987
geohash-java,0.251884195,1,0.760338346,2128,1618,57,920,2.678571429,14.603,-0.273991753,7.66293785,7.388946098,4.043051268,6.82437367,0.985283603,2.681226987,-1.315203956,-0.000469925,-0.000618047,-0.01754386,-0.001086957,-0.373333333,-0.06847908
JAdventure,0.32609857,1,0.074516262,2429,181,36,3785,1.482091396,14.428,-2.596737898,7.795234929,5.198497031,3.583518938,8.238801166,0.393454195,2.669170763,-13.4198895,-0.000411692,-0.005524862,-0.027777778,-0.000264201,-0.674722222,-0.069309676
skype-java-api,0.933510878,1,0.08129285,2042,166,25,6356,1.224289912,37.6785,-2.50969721,7.621684999,5.111987788,3.218875825,8.757154528,0.202361012,3.62908964,-12.30120482,-0.000489716,-0.006024096,-0.04,-0.000157332,-0.8168,-0.026540335
evernote-sdk-java,0.333517796,1,0.000743897,44361,33,15,2370,0.033813485,38.543,-7.203608423,10.70011598,3.496507561,2.708050201,7.770645234,-3.386895597,3.651774501,-1344.272727,-2.25E-05,-0.03030303,-0.066666667,-0.000421941,-29.574,-0.025945048
parsii,0.235481446,1,0.472505092,982,464,17,1713,1.731160896,22.141,-0.749706756,6.889591308,6.139884552,2.833213344,7.446001498,0.548792222,3.097431093,-2.11637931,-0.00101833,-0.002155172,-0.058823529,-0.000583771,-0.577647059,-0.045165078
JavaVerbalExpressions,0.385355257,1,0.731092437,119,87,69,326,57.98319328,6.553,-0.313215374,4.779123493,4.465908119,4.234106505,5.786897381,4.060153197,1.87992296,-1.367816092,-0.008403361,-0.011494253,-0.014492754,-0.003067485,-0.017246377,-0.152601862
cors-filter,0.545273428,1,0.666666667,195,130,73,588,37.43589744,6.402,-0.405465108,5.272999559,4.86753445,4.290459441,6.376726948,3.622630069,1.856610442,-1.5,-0.005128205,-0.007692308,-0.01369863,-0.00170068,-0.026712329,-0.156201187
zt-exec,0.326796193,1,0.523109244,476,249,71,1670,14.91596639,8.5375,-0.647964958,6.165417854,5.517452896,4.262679877,7.420578905,2.702432209,2.144468225,-1.911646586,-0.00210084,-0.004016064,-0.014084507,-0.000598802,-0.067042254,-0.117130307
low-gc-membuffers,0.302360164,1,0.419027632,2859,1198,52,3183,1.818817768,8.501,-0.869818414,7.958227192,7.088408779,3.951243719,8.065579427,0.598186712,2.140183804,-2.386477462,-0.000349773,-0.000834725,-0.019230769,-0.000314169,-0.549807692,-0.11763322
hashids-java,0.385617161,1,0.67816092,348,236,12,258,3.448275862,9.6785,-0.388370675,5.85220248,5.463831805,2.48490665,5.552959585,1.237874356,2.269906931,-1.474576271,-0.002873563,-0.004237288,-0.083333333,-0.003875969,-0.29,-0.103321796
flip-tables,0.806963898,1,0.837988827,179,150,22,170,12.29050279,11.0555,-0.176750512,5.187385806,5.010635294,3.091042453,5.135798437,2.508826834,2.402928042,-1.193333333,-0.005586592,-0.006666667,-0.045454545,-0.005882353,-0.081363636,-0.090452716
pollexor,0.424143877,1,0.76083707,669,509,59,592,8.819133034,11.2245,-0.273336044,6.50578406,6.232448017,4.077537444,6.383506635,2.17692357,2.418098889,-1.314341847,-0.001494768,-0.001964637,-0.016949153,-0.001689189,-0.113389831,-0.089090828
rtree,0.214128733,1,0.85520362,884,756,200,1806,22.62443439,9.0025,-0.156415686,6.784457063,6.628041376,5.298317367,7.498869734,3.11903049,2.197502317,-1.169312169,-0.001131222,-0.001322751,-0.005,-0.00055371,-0.0442,-0.111080255
statsd-jvm-profiler,0.70114825,1,0.313253012,166,52,34,691,20.48192771,8.9965,-1.16074407,5.111987788,3.951243719,3.526360525,6.538139824,3.019542922,2.196835613,-3.192307692,-0.006024096,-0.019230769,-0.029411765,-0.001447178,-0.048823529,-0.111154338
LastCalc,0.768727722,1,0.5042972,3607,1819,35,4594,0.970335459,12.6155,-0.684589502,8.190631681,7.506042179,3.555348061,8.432506383,-0.030113433,2.534926217,-1.982957669,-0.000277239,-0.000549753,-0.028571429,-0.000217675,-1.030571429,-0.079267568
DiskLruCache,0.295161518,1,0.605454545,550,333,62,780,11.27272727,16.5945,-0.501775788,6.309918278,5.80814249,4.127134385,6.65929392,2.422386293,2.809071315,-1.651651652,-0.001818182,-0.003003003,-0.016129032,-0.001282051,-0.088709677,-0.06026093
