name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
low-gc-membuffers,0.898311693,1,0.419027632,2859,1198,52,3183,1.818817768,8.501,-0.869818414,7.958227192,7.088408779,3.951243719,8.065579427,0.598186712,2.140183804,-2.386477462,-0.000349773,-0.000834725,-0.019230769,-0.000314169,-0.549807692,-0.11763322
hashids-java,0.651263293,1,0.67816092,348,236,12,258,3.448275862,9.6785,-0.388370675,5.85220248,5.463831805,2.48490665,5.552959585,1.237874356,2.269906931,-1.474576271,-0.002873563,-0.004237288,-0.083333333,-0.003875969,-0.29,-0.103321796
flip-tables,0.46274046,1,0.837988827,179,150,22,170,12.29050279,11.0555,-0.176750512,5.187385806,5.010635294,3.091042453,5.135798437,2.508826834,2.402928042,-1.193333333,-0.005586592,-0.006666667,-0.045454545,-0.005882353,-0.081363636,-0.090452716
pollexor,0.837345956,1,0.76083707,669,509,59,592,8.819133034,11.2245,-0.273336044,6.50578406,6.232448017,4.077537444,6.383506635,2.17692357,2.418098889,-1.314341847,-0.001494768,-0.001964637,-0.016949153,-0.001689189,-0.113389831,-0.089090828
rtree,0.876771191,1,0.85520362,884,756,200,1806,22.62443439,9.0025,-0.156415686,6.784457063,6.628041376,5.298317367,7.498869734,3.11903049,2.197502317,-1.169312169,-0.001131222,-0.001322751,-0.005,-0.00055371,-0.0442,-0.111080255
statsd-jvm-profiler,0.543287693,1,0.313253012,166,52,34,691,20.48192771,8.9965,-1.16074407,5.111987788,3.951243719,3.526360525,6.538139824,3.019542922,2.196835613,-3.192307692,-0.006024096,-0.019230769,-0.029411765,-0.001447178,-0.048823529,-0.111154338
LastCalc,0.931419706,1,0.5042972,3607,1819,35,4594,0.970335459,12.6155,-0.684589502,8.190631681,7.506042179,3.555348061,8.432506383,-0.030113433,2.534926217,-1.982957669,-0.000277239,-0.000549753,-0.028571429,-0.000217675,-1.030571429,-0.079267568
DiskLruCache,0.673677003,1,0.605454545,550,333,62,780,11.27272727,16.5945,-0.501775788,6.309918278,5.80814249,4.127134385,6.65929392,2.422386293,2.809071315,-1.651651652,-0.001818182,-0.003003003,-0.016129032,-0.001282051,-0.088709677,-0.06026093
IClojure,0.656420858,1,0.13916501,503,70,13,962,2.584493042,16.339,-1.972094928,6.22059017,4.248495242,2.564949357,6.869014451,0.949529373,2.793554888,-7.185714286,-0.001988072,-0.014285714,-0.076923077,-0.001039501,-0.386923077,-0.061203256
raml-java-parser,0.897055072,1,0.584958217,2154,1260,30,8217,1.39275766,42.912,-0.536214858,7.675081858,7.138867,3.401197382,9.013960458,0.33128571,3.759151507,-1.70952381,-0.000464253,-0.000793651,-0.033333333,-0.000121699,-0.718,-0.023303505
