name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
PMD-core,0.878518341,1,0.24002563,23410,5619,458,20958,1.956428877,28.373,-1.427009569,10.06091856,8.633908991,6.126869184,9.950275714,0.67112081,3.345437989,-4.166221748,-4.27E-05,-0.000177968,-0.002183406,-4.77E-05,-0.511135371,-0.035244775
pollexor,0.688260473,1,0.848928974,887,753,58,592,6.538895152,22.3355,-0.163779755,6.787844982,6.624065228,4.060443011,6.383506635,1.877768214,3.106177341,-1.177954847,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152931034,-0.044771776
protoparser,0.820506525,1,0.720659341,4550,3279,166,2115,3.648351648,22.257,-0.327588735,8.422882512,8.095293777,5.111987788,7.656810091,1.294275462,3.102656566,-1.387618176,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274096386,-0.044929685
pusher-websocket-java,0.680734857,1,0.578911565,1470,851,204,1634,13.87755102,16.6805,-0.546605551,7.29301768,6.746412129,5.318119994,7.398786275,2.6302725,2.814240373,-1.727379553,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058824,-0.059950241
raml-java-parser,0.808869406,1,0.708967571,6044,4285,190,8217,3.143613501,11.4495,-0.343945492,8.706821323,8.362875831,5.247024072,9.013960458,1.145372935,2.437946061,-1.41050175,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318105263,-0.087340059
redline,0.782298822,1,0.34019752,4759,1619,41,3809,0.861525531,11.397,-1.078228887,8.467792841,7.389563954,3.713572067,8.245121966,-0.149050588,2.433350163,-2.939468808,-0.000210128,-0.000617665,-0.024390244,-0.000262536,-1.160731707,-0.087742388
redline-smalltalk,0.584874146,1,0.170640835,10736,1832,43,5648,0.40052161,8.3185,-1.768194314,9.281357859,7.513163545,3.761200116,8.639056779,-0.914987558,2.11848195,-5.860262009,-9.31E-05,-0.000545852,-0.023255814,-0.000177054,-2.496744186,-0.120213981
RestFixture,0.795960383,1,0.682205972,3282,2239,268,3106,8.16575259,8.415,-0.382423655,8.096208272,7.713784617,5.590986981,8.041091004,2.099948895,2.130015828,-1.465832961,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122462687,-0.118835413
rome,0.849625817,1,0.456866033,10734,4904,475,11704,4.425190982,8.0115,-0.783365075,9.281171553,8.497806478,6.163314804,9.367685943,1.487313437,2.080878009,-2.188825449,-9.32E-05,-0.000203915,-0.002105263,-8.54E-05,-0.225978947,-0.12482057
rtree,0.723311497,1,0.737773638,2147,1584,199,1806,9.268747089,7.328,-0.304118226,7.671826798,7.367708572,5.293304825,7.498869734,2.226648213,1.991702627,-1.355429293,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889447,-0.136462882
