name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
ews-java-api,0.965539967,1,0.058379099,31501,1839,99,45313,0.314275737,80.861,-2.840797346,10.35777457,7.516977225,4.59511985,10.72134925,-1.157484534,4.392731631,-17.12941816,-3.17E-05,-0.000543774,-0.01010101,-2.21E-05,-3.181919192,-0.012366901
exp4j,0.924019104,1,0.870761356,1563,1361,284,1086,18.17018554,188.99,-0.138387328,7.35436233,7.215975003,5.648974238,6.9902565,2.899782094,5.241694104,-1.148420279,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035211,-0.005291285
expiringmap,0.921246575,1,0.560819462,781,438,26,802,3.329065301,18.043,-0.578356239,6.66057515,6.08221891,3.258096538,6.687108608,1.202691574,2.892757798,-1.783105023,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300384615,-0.055423156
flip-tables,0.740612245,1,0.875,336,294,21,170,6.25,7.643,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,2.033790196,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.130838676
gdx-artemis,0.92820894,1,0.570581257,1686,962,35,1951,2.075919336,24.906,-0.561099688,7.430114139,6.869014451,3.555348061,7.576097341,0.730404109,3.215108738,-1.752598753,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481714286,-0.040150968
gelfj,0.798458689,1,0.348560079,1007,351,28,1120,2.780536246,17.437,-1.053944669,6.914730893,5.860786223,3.33220451,7.021083964,1.022643803,2.858594385,-2.868945869,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359642857,-0.057349315
GenericTree,0.701846512,1,0.811320755,265,215,49,234,18.49056604,31.618,-0.209091798,5.579729826,5.370638028,3.891820298,5.455321115,2.917260658,3.453726579,-1.23255814,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081633,-0.031627554
geocluster-facet,0.80577027,1,0.488448845,606,296,15,553,2.475247525,8.463,-0.716520532,6.406879986,5.690359454,2.708050201,6.315358002,0.906340401,2.135703721,-2.047297297,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404,-0.118161408
geohash-java,0.952180712,1,0.685119048,1680,1151,56,920,3.333333333,43.924,-0.378162664,7.426549072,7.048386409,4.025351691,6.82437367,1.203972804,3.782460868,-1.459600348,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.3,-0.022766597
geojson-jackson,0.764425249,1,0.419804742,717,301,44,654,6.136680614,25.092,-0.867965576,6.575075841,5.707110265,3.784189634,6.483107351,1.814283979,3.22254907,-2.382059801,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954545,-0.03985334
